indicator,variant,level_label,lower_level,upper_level,sma50_label,use_sma50_filter,candle_label,use_candle_confirmation,volume_label,use_volume_filter,volume_window,volume_multiplier,total_active_signals,correct_signals,directional_accuracy,hit_rate,meets_min_active_signals
RSI,RSI14 | RSI 25/75 | Without SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 25/75,25,75,Without SMA50 Filter,False,Candle Confirmation,True,No Volume Filter,False,20,0.0,331,145,43.80664652567976,44.0249433106576,True
RSI,RSI14 | RSI 40/60 | Without SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI 40/60,40,60,Without SMA50 Filter,False,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,318,138,43.39622641509434,43.84863945578231,True
RSI,RSI14 | RSI 40/60 | Without SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI 40/60,40,60,Without SMA50 Filter,False,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,378,162,42.857142857142854,45.43144774688398,True
RSI,RSI14 | RSI 40/60 | Without SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 40/60,40,60,Without SMA50 Filter,False,No Candle Confirmation,False,No Volume Filter,False,20,0.0,914,391,42.77899343544858,44.22458964646465,True
RSI,RSI14 | RSI 30/70 | Without SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI 30/70,30,70,Without SMA50 Filter,False,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,232,99,42.672413793103445,41.40625,True
RSI,RSI14 | RSI 25/75 | Without SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI 25/75,25,75,Without SMA50 Filter,False,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,158,67,42.405063291139236,40.26729559748427,True
RSI,RSI14 | RSI 35/65 | Without SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 35/65,35,65,Without SMA50 Filter,False,No Candle Confirmation,False,No Volume Filter,False,20,0.0,724,306,42.26519337016575,43.4251771987621,True
RSI,RSI14 | RSI 25/75 | Without SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI 25/75,25,75,Without SMA50 Filter,False,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,147,62,42.17687074829932,40.198019801980195,True
RSI,RSI14 | RSI 35/65 | With SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 35/65,35,65,With SMA50 Filter,True,No Candle Confirmation,False,No Volume Filter,False,20,0.0,140,59,42.142857142857146,46.19565217391305,True
RSI,RSI14 | RSI 40/60 | Without SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 40/60,40,60,Without SMA50 Filter,False,Candle Confirmation,True,No Volume Filter,False,20,0.0,703,295,41.96301564722618,42.01369932261652,True
RSI,RSI14 | RSI 35/65 | With SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 35/65,35,65,With SMA50 Filter,True,Candle Confirmation,True,No Volume Filter,False,20,0.0,120,50,41.66666666666667,42.248062015503876,True
RSI,RSI14 | RSI 35/65 | Without SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 35/65,35,65,Without SMA50 Filter,False,Candle Confirmation,True,No Volume Filter,False,20,0.0,580,240,41.37931034482759,41.020946353224836,True
RSI,RSI14 | RSI 25/75 | With SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 25/75,25,75,With SMA50 Filter,True,No Candle Confirmation,False,No Volume Filter,False,20,0.0,33,13,39.39393939393939,41.07142857142857,True
RSI,RSI14 | RSI 25/75 | With SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI 25/75,25,75,With SMA50 Filter,True,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,13,5,38.46153846153847,38.46153846153846,False
RSI,RSI14 | RSI 25/75 | With SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI 25/75,25,75,With SMA50 Filter,True,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,12,4,33.33333333333333,33.333333333333336,False
RSI,RSI14 | RSI 25/75 | With SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 25/75,25,75,With SMA50 Filter,True,Candle Confirmation,True,No Volume Filter,False,20,0.0,28,9,32.142857142857146,33.333333333333336,False
