sektor,indicator,signal_column,total_stocks,total_windows,total_active_signals,correct_signals,directional_accuracy,hit_rate
Energi,MA Crossover,MA_Crossover_Signal,10,20,21,15,71.42857142857143,76.66666666666667
Energi,MACD,MACD_Trade_Signal,0,0,0,0,0.0,0.0
Energi,RSI,RSI_Signal,10,20,25,12,48.0,64.74358974358974
Finansial,MA Crossover,MA_Crossover_Signal,10,10,20,8,40.0,44.44444444444444
Finansial,MACD,MACD_Trade_Signal,0,0,0,0,0.0,0.0
Finansial,RSI,RSI_Signal,10,30,33,17,51.515151515151516,57.89473684210526
Industri,MA Crossover,MA_Crossover_Signal,10,30,35,20,57.14285714285714,62.5
Industri,MACD,MACD_Trade_Signal,0,0,0,0,0.0,0.0
Industri,RSI,RSI_Signal,10,10,10,5,50.0,57.142857142857146
Teknologi,MA Crossover,MA_Crossover_Signal,10,20,14,7,50.0,56.666666666666664
Teknologi,MACD,MACD_Trade_Signal,0,0,0,0,0.0,0.0
Teknologi,RSI,RSI_Signal,10,20,26,9,34.61538461538461,35.11904761904761
