sektor,indicator,signal_column,total_stocks,total_windows,total_active_signals,correct_signals,directional_accuracy,hit_rate
Energi,MA Crossover,MA_Crossover_Signal,10,20,21,15,71.42857142857143,76.66666666666667
Finansial,RSI,RSI_Signal,10,30,33,17,51.515151515151516,57.89473684210526
Industri,MA Crossover,MA_Crossover_Signal,10,30,35,20,57.14285714285714,62.5
Teknologi,MA Crossover,MA_Crossover_Signal,10,20,14,7,50.0,56.666666666666664
