ticker,ticker_yfinance,sektor,status_fetch,jumlah_data,tanggal_awal,tanggal_akhir,kolom_ohlcv_lengkap,error_message
BBCA,BBCA.JK,Finansial,SUCCESS,397,2024-10-21,2026-06-22,True,
BBRI,BBRI.JK,Finansial,SUCCESS,397,2024-10-21,2026-06-22,True,
BMRI,BMRI.JK,Finansial,SUCCESS,397,2024-10-21,2026-06-22,True,
SMMA,SMMA.JK,Finansial,SUCCESS,397,2024-10-21,2026-06-22,True,
DNET,DNET.JK,Finansial,SUCCESS,397,2024-10-21,2026-06-22,True,
BBNI,BBNI.JK,Finansial,SUCCESS,397,2024-10-21,2026-06-22,True,
BNLI,BNLI.JK,Finansial,SUCCESS,397,2024-10-21,2026-06-22,True,
CASA,CASA.JK,Finansial,SUCCESS,397,2024-10-21,2026-06-22,True,
BRIS,BRIS.JK,Finansial,SUCCESS,397,2024-10-21,2026-06-22,True,
MEGA,MEGA.JK,Finansial,SUCCESS,397,2024-10-21,2026-06-22,True,
ASII,ASII.JK,Industri,SUCCESS,397,2024-10-21,2026-06-22,True,
IMPC,IMPC.JK,Industri,SUCCESS,397,2024-10-21,2026-06-22,True,
UNTR,UNTR.JK,Industri,SUCCESS,397,2024-10-21,2026-06-22,True,
BNBR,BNBR.JK,Industri,SUCCESS,397,2024-10-21,2026-06-22,True,
SUNI,SUNI.JK,Industri,SUCCESS,397,2024-10-21,2026-06-22,True,
JTPE,JTPE.JK,Industri,SUCCESS,397,2024-10-21,2026-06-22,True,
HEXA,HEXA.JK,Industri,SUCCESS,397,2024-10-21,2026-06-22,True,
VISI,VISI.JK,Industri,SUCCESS,397,2024-10-21,2026-06-22,True,
MARK,MARK.JK,Industri,SUCCESS,397,2024-10-21,2026-06-22,True,
ARNA,ARNA.JK,Industri,SUCCESS,397,2024-10-21,2026-06-22,True,
DCII,DCII.JK,Teknologi,SUCCESS,397,2024-10-21,2026-06-22,True,
GOTO,GOTO.JK,Teknologi,SUCCESS,397,2024-10-21,2026-06-22,True,
BELI,BELI.JK,Teknologi,SUCCESS,397,2024-10-21,2026-06-22,True,
MLPT,MLPT.JK,Teknologi,SUCCESS,397,2024-10-21,2026-06-22,True,
EMTK,EMTK.JK,Teknologi,SUCCESS,397,2024-10-21,2026-06-22,True,
BUKA,BUKA.JK,Teknologi,SUCCESS,397,2024-10-21,2026-06-22,True,
WIFI,WIFI.JK,Teknologi,SUCCESS,397,2024-10-21,2026-06-22,True,
CYBR,CYBR.JK,Teknologi,SUCCESS,397,2024-10-21,2026-06-22,True,
MTDL,MTDL.JK,Teknologi,SUCCESS,397,2024-10-21,2026-06-22,True,
MSTI,MSTI.JK,Teknologi,SUCCESS,397,2024-10-21,2026-06-22,True,
BYAN,BYAN.JK,Energi,SUCCESS,397,2024-10-21,2026-06-22,True,
DSSA,DSSA.JK,Energi,SUCCESS,397,2024-10-21,2026-06-22,True,
CUAN,CUAN.JK,Energi,SUCCESS,397,2024-10-21,2026-06-22,True,
ADRO,ADRO.JK,Energi,SUCCESS,397,2024-10-21,2026-06-22,True,
ADMR,ADMR.JK,Energi,SUCCESS,397,2024-10-21,2026-06-22,True,
BUMI,BUMI.JK,Energi,SUCCESS,397,2024-10-21,2026-06-22,True,
TCPI,TCPI.JK,Energi,SUCCESS,397,2024-10-21,2026-06-22,True,
PTRO,PTRO.JK,Energi,SUCCESS,397,2024-10-21,2026-06-22,True,
GEMS,GEMS.JK,Energi,SUCCESS,397,2024-10-21,2026-06-22,True,
PGAS,PGAS.JK,Energi,SUCCESS,397,2024-10-21,2026-06-22,True,
