sektor,indicator,signal_column,total_stocks,total_windows,total_active_signals,correct_signals,directional_accuracy,hit_rate
Energi,MA Crossover,MA_Crossover_Signal,10,40,49,24,48.97959183673469,52.976190476190474
Energi,MACD,MACD_Trade_Signal,10,40,80,43,53.75,57.095238095238095
Energi,RSI,RSI_Signal,10,40,27,15,55.55555555555556,53.50877192982456
Finansial,MA Crossover,MA_Crossover_Signal,10,40,62,34,54.83870967741935,57.323232323232325
Finansial,MACD,MACD_Trade_Signal,10,40,104,41,39.42307692307692,39.42857142857143
Finansial,RSI,RSI_Signal,10,40,16,5,31.25,25.757575757575754
Industri,MA Crossover,MA_Crossover_Signal,10,40,39,22,56.41025641025641,60.3448275862069
Industri,MACD,MACD_Trade_Signal,10,40,91,38,41.75824175824176,45.256410256410255
Industri,RSI,RSI_Signal,10,40,18,7,38.88888888888889,40.0
Teknologi,MA Crossover,MA_Crossover_Signal,10,40,44,28,63.63636363636363,66.11111111111111
Teknologi,MACD,MACD_Trade_Signal,10,40,98,35,35.714285714285715,37.372372372372375
Teknologi,RSI,RSI_Signal,10,40,17,10,58.82352941176471,60.0
